index,time_step,xyz_position,quaternion_orientation
68,1718632565.562281,"[0.968166708946228, 0.0023364608641713858, 1.1634060144424438]","[-0.03783158212900162, 0.7640557289123535, -0.001709243981167674, 0.6440377831459045]"
69,1718632565.83598,"[0.972208559513092, 0.001386467833071947, 1.1710454225540161]","[-0.03895198181271553, 0.7706201076507568, -0.001759554143063724, 0.6361009478569031]"
70,1718632566.106051,"[0.9762035608291626, 0.0005664608324877918, 1.178288221359253]","[-0.04002726823091507, 0.7768307328224182, -0.0017834915779531002, 0.6284335255622864]"
71,1718632566.400149,"[0.9801299571990967, -8.041757246246561e-05, 1.1851377487182617]","[-0.04093579947948456, 0.7827082872390747, -0.0017879625083878636, 0.6210384368896484]"
72,1718632566.7273548,"[0.9831156730651855, -0.0004967939457856119, 1.1901798248291016]","[-0.04155005142092705, 0.7870311141014099, -0.0017815076280385256, 0.6155097484588623]"
73,1718632566.952439,"[0.9854099750518799, -0.0007616243092343211, 1.1939617395401]","[-0.04193935543298721, 0.7902687191963196, -0.001769199618138373, 0.6113207936286926]"
74,1718632567.246219,"[0.9897432327270508, -0.001103852642700076, 1.200904130935669]","[-0.04245381057262421, 0.7962242960929871, -0.0017416296759620309, 0.6035077571868896]"
75,1718632567.507675,"[0.9937602877616882, -0.0013539321953430772, 1.207114338874817]","[-0.042843304574489594, 0.8015389442443848, -0.0017110754270106554, 0.5964034199714661]"
76,1718632567.792265,"[0.9978596568107605, -0.0015330725582316518, 1.2132443189620972]","[-0.04312969744205475, 0.8067746162414551, -0.001678610104136169, 0.5892806649208069]"
77,1718632568.0851982,"[1.0017296075820923, -0.0016590740997344255, 1.2188498973846436]","[-0.043340642005205154, 0.8115484714508057, -0.0016472331481054425, 0.5826732516288757]"
78,1718632568.392736,"[1.0058742761611938, -0.0017370693385601044, 1.2246708869934082]","[-0.04347756505012512, 0.81649249792099, -0.0016168467700481415, 0.5757144093513489]"
79,1718632568.643264,"[1.0089303255081177, -0.0017756371526047587, 1.2288488149642944]","[-0.04354856535792351, 0.8200342059135437, -0.001596104702912271, 0.5706532001495361]"
80,1718632568.9230132,"[1.012821912765503, -0.0018034285167232156, 1.2340346574783325]","[-0.04361404851078987, 0.8244158029556274, -0.0015729144215583801, 0.5642997622489929]"
81,1718632569.186347,"[1.0167129039764404, -0.0018092533573508263, 1.2390763759613037]","[-0.04364071041345596, 0.8286577463150024, -0.001552874338813126, 0.5580494403839111]"
82,1718632569.487535,"[1.0207033157348633, -0.0018025296740233898, 1.2441065311431885]","[-0.043653517961502075, 0.8328786492347717, -0.0015379898250102997, 0.5517292618751526]"
83,1718632569.774913,"[1.024580955505371, -0.0017931703478097916, 1.2488642930984497]","[-0.04367106780409813, 0.8368545174598694, -0.0015260979998856783, 0.5456784963607788]"
84,1718632570.026898,"[1.027726173400879, -0.0017790797865018249, 1.252632975578308]","[-0.043673232197761536, 0.8399920463562012, -0.0015193315921351314, 0.5408363342285156]"
85,1718632570.322458,"[1.0312546491622925, -0.0017622823361307383, 1.2567689418792725]","[-0.04367571696639061, 0.8434239029884338, -0.0015128565719351172, 0.535468339920044]"
86,1718632570.631016,"[1.0348658561706543, -0.001745629939250648, 1.2609044313430786]","[-0.043692007660865784, 0.8468419909477234, -0.0015102176694199443, 0.5300447940826416]"
87,1718632570.920695,"[1.0387670993804932, -0.0017213384853675961, 1.2652658224105835]","[-0.04369845986366272, 0.8504316806793213, -0.0015125770587474108, 0.5242651104927063]"
88,1718632571.217238,"[1.0424292087554932, -0.0017024700064212084, 1.269263744354248]","[-0.0437210388481617, 0.8537111282348633, -0.001516539603471756, 0.5189059972763062]"
89,1718632571.502825,"[1.0457773208618164, -0.0016837650910019875, 1.2728406190872192]","[-0.04373731464147568, 0.8566369414329529, -0.0015222259098663926, 0.5140603184700012]"
90,1718632571.781831,"[1.0479954481124878, -0.0016751745715737343, 1.2751704454421997]","[-0.04375465214252472, 0.858539879322052, -0.0015230339486151934, 0.5108743906021118]"
91,1718632572.06146,"[1.0493121147155762, -0.0016706883907318115, 1.2765390872955322]","[-0.043763235211372375, 0.8596574664115906, -0.0015220175264403224, 0.5089907050132751]"
92,1718632572.365143,"[1.050092101097107, -0.0016683408757671714, 1.2773447036743164]","[-0.04376804828643799, 0.8603151440620422, -0.001520870835520327, 0.5078778266906738]"
93,1718632572.630544,"[1.050553321838379, -0.0016670222394168377, 1.277819275856018]","[-0.043770648539066315, 0.8607025742530823, -0.0015199320623651147, 0.5072209239006042]"
94,1718632572.90913,"[1.050825834274292, -0.001666253199800849, 1.2780991792678833]","[-0.04377203434705734, 0.8609305620193481, -0.001519263838417828, 0.5068334341049194]"
95,1718632573.18736,"[1.0509867668151855, -0.0016657939413562417, 1.2782641649246216]","[-0.04377278313040733, 0.8610652089118958, -0.001518809818662703, 0.506604790687561]"
96,1718632573.483958,"[1.051081895828247, -0.0016655157087370753, 1.2783615589141846]","[-0.043773166835308075, 0.8611443638801575, -0.0015185227384790778, 0.5064699053764343]"
97,1718632573.763496,"[1.051137924194336, -0.001665346440859139, 1.278419017791748]","[-0.04377337545156479, 0.8611913323402405, -0.0015183347277343273, 0.506390392780304]"
98,1718632574.0655859,"[1.051171064376831, -0.001665242831222713, 1.2784528732299805]","[-0.04377347603440285, 0.8612188100814819, -0.001518217963166535, 0.5063434839248657]"
99,1718632574.337049,"[1.0511906147003174, -0.0016651793848723173, 1.278472900390625]","[-0.043773528188467026, 0.8612350821495056, -0.0015181463677436113, 0.5063158273696899]"
100,1718632574.61443,"[1.0512021780014038, -0.0016651401529088616, 1.2784847021102905]","[-0.043773550540208817, 0.8612446784973145, -0.001518099568784237, 0.5062994956970215]"
101,1718632574.91487,"[1.0512089729309082, -0.0016651165205985308, 1.278491735458374]","[-0.04377356544137001, 0.8612504005432129, -0.0015180696500465274, 0.5062898993492126]"
